policy_id,age_at_entry,sex,policy_term,policy_count,sum_assured,prem_paying_term,dur_elapsed,ann_prem,PCODE
117,52,M,22,1,872000,12,50,13515,7
118,42,F,22,1,652000,12,164,12785,4
119,39,F,22,1,466000,12,1,19389,1
120,42,F,16,1,999000,6,123,21801,4
121,44,F,22,1,362000,12,0,2217,7
122,34,F,22,1,822000,12,200,16961,10
123,29,M,16,1,448000,6,77,7699,3
124,35,M,22,1,844000,12,105,2571,7
125,60,F,22,1,737000,12,84,9626,6
126,35,F,22,1,139000,12,168,8826,7
127,49,F,22,1,885000,12,212,23111,3
128,34,M,22,1,141000,12,239,5280,2
129,55,F,16,1,158000,6,0,19121,4
130,42,F,22,1,472000,12,34,14436,2
131,45,M,16,1,233000,6,171,22039,3
132,32,F,22,1,909000,12,161,13743,5
133,46,M,16,1,457000,6,0,10483,9
134,42,M,22,1,529000,12,98,14530,8
135,50,F,16,1,146000,6,141,18908,2
136,33,F,16,1,847000,6,28,1255,1
137,46,M,16,1,683000,6,152,19957,3
138,55,F,16,1,467000,6,0,15396,5
139,41,M,16,1,466000,6,72,8999,7
140,31,F,16,1,311000,6,184,11903,9
141,27,M,22,1,503000,12,32,10636,3
142,56,M,22,1,137000,12,171,11946,1
143,43,F,16,1,721000,6,78,19620,5
144,31,M,16,1,220000,6,173,10777,8
145,35,F,16,1,226000,6,0,11998,9
146,52,M,22,1,597000,12,38,24023,7
147,38,M,16,1,265000,6,54,1180,5
148,47,M,16,1,852000,6,0,24182,5
149,54,M,22,1,260000,12,134,10303,4
150,32,F,22,1,630000,12,260,13427,3
151,55,F,22,1,256000,12,194,10015,8
152,52,M,22,1,252000,12,21,12919,1
153,37,M,16,1,600000,6,100,1505,3
154,33,F,16,1,863000,6,52,10842,10
155,37,M,22,1,757000,12,233,14475,4
156,28,M,22,1,455000,12,154,16648,1
157,40,M,22,1,308000,12,27,1761,8
158,47,M,16,1,702000,6,25,12460,2
159,52,F,16,1,921000,6,95,12596,1
160,44,M,16,1,199000,6,0,21394,10
161,28,M,22,1,918000,12,98,2829,5
162,47,F,16,1,450000,6,72,8156,7
163,28,F,16,1,869000,6,0,14716,1
164,31,F,22,1,563000,12,218,12365,4
165,59,F,16,1,996000,6,84,16449,1
166,33,M,16,1,683000,6,0,23768,3
167,45,F,16,1,668000,6,30,6886,7
168,49,M,22,1,176000,12,209,8315,9
169,54,M,16,1,505000,6,0,12792,1
170,27,M,22,1,552000,12,24,23724,7
171,55,F,22,1,676000,12,108,3201,5
172,56,F,16,1,439000,6,144,22821,10
173,49,M,16,1,312000,6,0,8581,7
174,40,M,22,1,613000,12,7,24480,10
175,34,M,22,1,603000,12,44,2324,3
176,47,F,22,1,675000,12,128,21509,4
177,49,M,22,1,759000,12,179,13681,3
178,36,M,16,1,717000,6,46,10100,5
179,49,F,16,1,644000,6,0,2943,7
180,31,M,16,1,957000,6,22,18901,3
181,34,M,16,1,394000,6,191,2936,8
182,25,M,16,1,257000,6,15,19295,5
183,35,M,16,1,590000,6,125,7416,3
184,32,M,22,1,462000,12,138,24961,7
185,54,M,16,1,949000,6,118,10231,4
186,56,M,22,1,661000,12,77,17585,7
187,56,F,16,1,831000,6,79,15489,6
188,60,F,22,1,349000,12,139,10652,7
189,47,F,22,1,894000,12,128,24305,7
190,40,M,16,1,853000,6,52,24122,7
191,45,M,16,1,955000,6,0,15259,2
192,38,M,22,1,154000,12,18,7881,5
193,42,F,22,1,261000,12,172,13355,5
194,34,F,22,1,498000,12,243,4619,6
195,49,M,22,1,526000,12,193,3356,1
196,59,M,16,1,213000,6,56,17671,7
197,30,M,22,1,559000,12,165,10549,3
198,27,F,16,1,598000,6,138,12375,1
199,38,M,22,1,629000,12,139,4209,10
200,39,M,22,1,599000,12,177,18576,2
201,39,M,22,1,184000,12,160,22401,3
202,31,M,16,1,700000,6,174,2463,10
203,30,M,16,1,585000,6,12,10977,10
204,33,F,16,1,682000,6,98,7558,8
205,45,F,22,1,696000,12,123,7213,2
206,53,F,22,1,153000,12,60,24106,5
207,42,F,22,1,581000,12,42,7305,1
208,32,F,16,1,149000,6,0,14679,10
209,40,F,22,1,968000,12,43,21835,8
210,44,M,16,1,416000,6,0,24819,2
211,58,F,16,1,318000,6,32,4933,1
212,38,F,22,1,983000,12,20,16267,7
213,33,M,22,1,337000,12,111,10766,4
214,43,M,16,1,160000,6,122,12760,10
215,27,M,16,1,806000,6,52,19121,4
216,37,M,22,1,784000,12,190,2290,2
217,30,M,16,1,604000,6,0,10631,10
218,35,M,22,1,850000,12,36,4650,1
219,29,M,16,1,198000,6,50,10696,10
220,35,M,22,1,996000,12,236,16060,3
221,37,M,16,1,708000,6,30,21235,3
222,28,M,22,1,855000,12,123,5284,5
223,37,F,22,1,633000,12,33,3438,4
224,42,F,22,1,850000,12,141,12030,8
225,28,M,22,1,287000,12,41,6967,10
226,56,M,22,1,858000,12,45,5891,7
227,56,M,16,1,523000,6,145,17116,5
228,59,F,22,1,131000,12,93,14246,6
229,29,F,22,1,208000,12,31,22070,1
230,25,F,16,1,478000,6,69,13743,3
231,59,F,16,1,367000,6,142,19946,7
232,58,M,16,1,692000,6,80,13071,2
233,53,F,22,1,875000,12,65,14890,9
234,29,F,16,1,945000,6,182,8824,6
235,49,F,22,1,533000,12,254,10156,7
236,51,M,16,1,759000,6,127,15699,1
237,35,M,22,1,208000,12,240,9181,1
238,57,M,22,1,303000,12,147,10934,10
239,52,F,22,1,316000,12,5,16478,8
240,31,M,16,1,185000,6,108,1943,10
241,45,M,22,1,663000,12,144,7014,5
242,36,M,16,1,421000,6,6,17656,6
243,53,M,22,1,429000,12,96,16287,9
244,38,F,22,1,922000,12,135,21280,7
245,56,F,22,1,451000,12,193,16646,9
246,37,F,22,1,661000,12,125,13152,6
247,48,M,22,1,756000,12,261,9101,6
248,43,M,16,1,189000,6,38,4582,4
249,40,F,16,1,558000,6,82,12059,3
250,25,M,16,1,892000,6,168,3086,8
251,60,M,22,1,132000,12,262,2667,2
252,40,F,16,1,485000,6,54,22894,1
253,37,F,22,1,646000,12,115,17629,1
254,56,M,22,1,734000,12,48,21677,10
255,25,M,16,1,798000,6,144,20940,4
256,28,F,16,1,237000,6,94,22915,7
257,42,F,16,1,191000,6,2,18234,3
258,42,F,16,1,312000,6,9,22247,10
259,55,M,22,1,957000,12,261,14284,10
260,42,M,22,1,900000,12,254,17106,5
261,50,M,22,1,520000,12,210,14553,2
262,53,F,22,1,338000,12,211,6072,6
263,34,M,16,1,359000,6,119,8929,8
264,59,F,16,1,797000,6,0,6847,7
265,58,F,16,1,925000,6,0,18862,2
266,50,F,22,1,460000,12,168,13588,10
267,26,F,16,1,444000,6,9,10364,7
268,34,M,22,1,479000,12,29,21364,6
269,29,M,16,1,660000,6,0,1688,9
270,49,M,22,1,523000,12,47,8747,1
271,25,M,22,1,914000,12,119,4885,5
272,37,F,16,1,561000,6,147,18751,8
273,25,M,22,1,763000,12,7,3807,7
274,52,M,22,1,839000,12,100,5576,6
275,38,F,22,1,804000,12,25,1241,5
276,49,M,16,1,280000,6,122,1278,5
277,31,F,16,1,631000,6,0,20470,9
278,60,F,16,1,127000,6,62,2464,7
279,40,F,16,1,323000,6,0,22181,10
280,56,F,16,1,690000,6,30,19246,3
281,60,F,16,1,704000,6,0,11297,2
282,26,M,22,1,215000,12,211,1453,4
283,59,F,22,1,168000,12,7,17370,1
284,35,F,22,1,287000,12,163,1914,5
285,58,M,16,1,570000,6,64,11754,1
286,56,F,22,1,972000,12,132,5396,1
287,27,M,16,1,965000,6,0,6280,6
288,46,M,16,1,855000,6,0,13860,7
289,27,F,22,1,484000,12,42,21487,3
290,37,M,22,1,436000,12,200,11992,3
291,56,F,16,1,761000,6,0,13127,2
292,27,F,22,1,242000,12,112,19413,4
293,46,M,16,1,686000,6,122,3959,9
294,52,F,16,1,494000,6,8,15191,3
295,49,M,16,1,884000,6,27,2388,8
296,25,M,16,1,511000,6,0,2327,8
297,49,M,22,1,412000,12,241,20944,9
298,28,F,16,1,690000,6,42,13133,2
299,53,F,16,1,288000,6,4,22220,9
300,60,M,16,1,959000,6,171,16109,2
301,59,M,16,1,612000,6,88,9168,1
302,52,F,22,1,560000,12,6,20346,10
303,37,M,22,1,945000,12,117,5661,10
304,56,M,16,1,315000,6,52,2452,2
305,45,M,16,1,286000,6,0,3421,6
306,42,M,16,1,112000,6,101,16821,2
307,46,F,16,1,217000,6,0,1621,6
308,31,M,22,1,645000,12,98,14919,3
309,29,F,22,1,438000,12,115,4626,5
310,44,F,22,1,195000,12,212,21178,1
311,45,M,22,1,172000,12,239,13747,3
312,40,F,16,1,271000,6,125,11604,10
313,50,F,16,1,221000,6,42,24733,8
314,30,F,16,1,831000,6,0,7189,6
315,41,F,16,1,952000,6,72,23857,8
316,30,M,22,1,824000,12,185,8158,5
317,39,F,22,1,660000,12,164,16576,5
318,34,M,16,1,588000,6,132,19487,2
319,50,M,16,1,338000,6,0,13172,4
320,58,F,22,1,721000,12,243,21574,5
321,50,M,16,1,427000,6,0,20849,7
322,60,M,22,1,121000,12,38,10419,9
323,29,F,16,1,172000,6,0,21989,7
324,50,M,22,1,443000,12,17,8343,3
325,35,M,22,1,509000,12,134,18714,2
326,51,M,22,1,562000,12,103,8929,10
327,42,F,22,1,829000,12,83,23807,10
328,51,M,22,1,403000,12,191,12121,10
329,29,F,16,1,812000,6,146,15337,5
330,43,M,22,1,174000,12,44,23713,3
331,39,F,16,1,701000,6,165,8850,9
332,31,F,16,1,552000,6,0,16843,4
333,32,M,16,1,360000,6,0,17556,6
334,56,M,22,1,283000,12,226,22415,7
335,48,M,22,1,916000,12,185,16995,9
336,56,M,22,1,825000,12,110,1496,8
337,47,F,22,1,917000,12,139,15790,6
338,50,M,16,1,864000,6,0,15013,9
339,56,M,22,1,900000,12,195,4601,1
340,58,M,22,1,612000,12,214,15706,1
341,27,M,16,1,702000,6,0,18536,6
342,60,M,16,1,926000,6,66,15259,4
343,46,M,22,1,151000,12,202,4371,5
344,43,F,16,1,981000,6,139,18216,10
345,55,M,16,1,307000,6,0,8435,6
346,52,M,16,1,138000,6,150,23920,8
347,35,F,22,1,457000,12,224,20941,9
348,47,F,22,1,693000,12,160,15201,2
349,47,M,16,1,506000,6,0,16274,8
350,29,F,22,1,463000,12,203,12624,2
351,26,M,16,1,350000,6,4,19917,10
352,36,F,16,1,406000,6,31,22004,3
353,50,M,22,1,775000,12,76,3071,8
354,27,F,16,1,603000,6,0,18733,8
355,52,F,16,1,823000,6,0,10945,3
356,56,F,16,1,970000,6,14,23745,7
357,38,F,22,1,519000,12,143,22485,9
358,25,F,22,1,306000,12,86,10270,3
359,50,F,16,1,439000,6,0,15261,7
360,44,M,22,1,246000,12,4,3191,2
361,52,M,22,1,295000,12,139,3262,2
362,31,M,22,1,212000,12,60,18436,10
363,39,F,16,1,820000,6,46,21518,4
364,30,F,22,1,402000,12,96,6019,10
365,28,M,16,1,476000,6,32,6826,2
366,30,F,16,1,383000,6,9,11762,5
367,43,M,22,1,831000,12,92,11011,1
368,56,M,16,1,767000,6,119,10909,3
369,32,F,16,1,304000,6,141,12902,7
370,42,F,22,1,312000,12,124,17688,3
371,48,M,22,1,738000,12,166,18329,2
372,37,F,16,1,309000,6,6,2310,5
373,25,F,22,1,415000,12,208,9890,9
374,60,M,16,1,334000,6,54,15782,5
375,49,M,22,1,557000,12,8,6592,2
376,44,M,22,1,113000,12,189,21527,1
377,37,F,16,1,531000,6,130,13104,1
378,35,M,22,1,919000,12,85,14364,9
379,36,M,16,1,587000,6,191,24844,6
380,38,M,22,1,902000,12,100,21992,6
381,46,F,16,1,756000,6,130,15404,9
382,50,M,22,1,523000,12,44,12897,4
383,52,F,16,1,420000,6,121,10039,1
384,29,M,22,1,973000,12,118,14739,10
385,36,F,22,1,540000,12,246,10153,9
386,52,F,22,1,687000,12,129,7764,8
387,49,M,22,1,944000,12,66,6303,5
388,56,M,22,1,712000,12,146,11548,1
389,29,M,22,1,353000,12,119,2375,10
390,42,F,16,1,640000,6,69,5958,5
391,32,M,16,1,986000,6,23,23804,6
392,40,F,22,1,392000,12,150,12590,1
393,52,F,16,1,173000,6,74,2289,8
394,30,M,16,1,135000,6,144,23535,8
395,43,F,16,1,787000,6,180,13807,6
396,40,F,16,1,225000,6,0,9725,5
397,26,M,16,1,712000,6,131,14578,8
398,52,M,16,1,863000,6,39,22264,10
399,54,M,16,1,717000,6,0,11686,6
400,39,F,16,1,404000,6,122,6094,8
401,28,F,22,1,500000,12,180,6288,4
402,47,F,16,1,861000,6,113,17176,2
403,60,F,16,1,911000,6,18,14973,2
404,26,F,16,1,695000,6,0,23358,2
405,38,M,22,1,399000,12,84,22826,3
406,32,M,22,1,566000,12,221,6160,3
407,59,M,16,1,845000,6,131,8934,1
408,32,M,16,1,134000,6,0,3611,10
409,56,M,16,1,546000,6,131,15117,3
410,60,F,22,1,725000,12,235,4115,5
411,53,M,22,1,684000,12,93,15280,10
412,26,M,22,1,160000,12,19,11249,4
413,29,M,16,1,707000,6,20,23981,1
414,32,M,22,1,528000,12,30,18082,9
415,58,F,16,1,196000,6,130,8794,10
416,26,M,22,1,858000,12,262,5356,2
417,48,F,16,1,508000,6,86,7375,8
418,48,F,16,1,195000,6,186,9479,9
419,37,M,16,1,834000,6,0,15183,9
420,48,M,22,1,585000,12,145,4963,9
421,25,F,22,1,534000,12,102,6504,5
422,37,F,16,1,412000,6,174,23541,1
423,53,M,16,1,532000,6,118,5982,10
424,26,M,16,1,538000,6,0,5413,10
425,47,F,22,1,587000,12,87,18356,8
426,40,F,22,1,127000,12,232,24191,6
427,57,M,22,1,970000,12,228,10525,9
428,31,F,22,1,297000,12,219,8160,7
429,59,M,16,1,332000,6,147,7040,3
430,40,M,22,1,580000,12,49,7371,7
431,47,F,16,1,720000,6,169,2231,8
432,38,M,16,1,104000,6,155,11635,7
433,51,M,16,1,218000,6,120,24083,8
434,32,M,22,1,462000,12,115,2141,2
435,50,M,22,1,834000,12,77,18869,1
436,55,F,16,1,130000,6,0,10595,4
437,45,M,16,1,963000,6,0,18584,10
438,49,M,22,1,395000,12,233,15269,6
439,42,M,16,1,713000,6,158,11335,4
440,41,F,16,1,280000,6,91,11143,7
441,41,F,16,1,865000,6,89,5134,5
442,39,M,16,1,616000,6,72,13130,2
443,56,F,16,1,392000,6,163,5111,2
444,28,M,22,1,885000,12,11,22515,6
445,59,M,16,1,711000,6,0,23442,7
446,46,M,22,1,497000,12,231,20467,7
447,35,F,16,1,408000,6,56,22696,9
448,43,M,22,1,568000,12,32,12772,10
449,45,M,16,1,979000,6,0,12070,3
450,57,M,16,1,734000,6,68,6110,1
451,55,M,22,1,145000,12,32,17407,9
452,59,F,16,1,752000,6,110,13051,7
453,28,M,16,1,540000,6,120,16780,10
454,54,M,16,1,428000,6,171,21670,8
455,60,F,16,1,343000,6,0,22114,3
456,56,M,16,1,305000,6,0,22900,1
457,35,F,16,1,242000,6,0,9940,7
458,42,F,22,1,328000,12,117,9431,2
459,51,F,16,1,219000,6,139,2831,9
460,38,F,16,1,648000,6,170,17101,10
461,36,M,16,1,851000,6,170,17417,7
462,42,M,22,1,837000,12,238,1235,10
463,55,M,22,1,454000,12,182,23176,9
464,44,F,16,1,633000,6,44,3906,10
465,41,M,16,1,154000,6,180,7842,4
466,54,M,22,1,594000,12,236,11878,6
467,28,M,16,1,844000,6,136,6037,1
468,30,M,22,1,188000,12,30,2628,7
469,34,F,22,1,289000,12,140,8102,6
470,46,F,16,1,545000,6,92,11227,8
471,37,M,16,1,265000,6,19,11491,6
472,57,F,16,1,786000,6,130,17277,3
473,41,M,22,1,574000,12,8,13609,8
474,33,M,16,1,656000,6,0,7500,3
475,42,M,22,1,232000,12,176,23605,9
476,35,F,16,1,745000,6,0,19686,3
477,59,F,22,1,263000,12,136,9745,10
478,55,M,22,1,649000,12,189,2974,8
479,51,M,16,1,846000,6,83,24769,5
480,48,M,16,1,505000,6,66,15169,3
481,25,F,22,1,717000,12,19,19030,1
482,59,M,16,1,580000,6,149,1120,2
483,47,F,22,1,112000,12,242,20920,10
484,48,F,16,1,882000,6,0,6819,10
485,44,M,16,1,466000,6,51,5107,10
486,59,F,16,1,593000,6,83,21764,1
487,37,F,16,1,383000,6,0,7288,4
488,54,M,16,1,447000,6,137,7801,6
489,59,M,22,1,611000,12,205,15771,4
490,49,F,22,1,984000,12,94,9891,10
491,56,M,16,1,939000,6,188,6487,1
492,31,F,16,1,533000,6,29,23690,10
493,28,F,22,1,810000,12,263,7160,6
494,32,M,22,1,867000,12,160,15183,7
495,30,F,22,1,540000,12,228,20224,6
496,56,M,22,1,652000,12,145,8487,7
497,38,M,22,1,702000,12,209,9179,7
498,37,M,16,1,197000,6,25,1484,6
499,52,F,16,1,108000,6,141,12005,2
500,49,F,16,1,649000,6,0,6490,9
501,60,M,16,1,271000,6,155,4597,7
502,40,M,16,1,767000,6,124,12535,6
503,26,F,16,1,382000,6,34,17085,4
504,41,F,16,1,463000,6,80,22641,4
505,28,M,16,1,549000,6,95,9778,10
506,25,M,22,1,558000,12,137,17457,9
507,38,M,16,1,475000,6,0,23747,2
508,54,F,22,1,147000,12,257,8392,1
509,30,M,22,1,343000,12,208,4179,6
510,36,F,22,1,298000,12,179,3819,1
511,45,F,22,1,124000,12,258,6216,10
512,37,F,22,1,347000,12,210,17447,2
513,31,F,22,1,198000,12,29,15035,4
514,27,M,22,1,907000,12,14,15934,6
515,52,F,22,1,390000,12,217,15622,6
516,47,M,22,1,686000,12,94,19605,10
517,39,F,16,1,996000,6,31,13848,1
518,53,F,22,1,897000,12,216,2839,9
519,40,F,22,1,267000,12,91,4374,6
520,43,F,16,1,747000,6,0,22140,1
521,54,F,16,1,997000,6,33,17664,9
522,42,M,22,1,159000,12,136,23950,10
523,46,F,22,1,892000,12,100,8706,4
524,52,M,16,1,768000,6,0,23647,4
525,43,M,22,1,168000,12,57,12918,4
526,28,F,22,1,176000,12,37,1276,7
527,26,M,16,1,163000,6,42,24808,7
528,44,F,22,1,206000,12,206,14351,4
529,33,F,22,1,202000,12,257,16275,4
530,51,M,16,1,801000,6,0,18011,8
531,41,F,16,1,178000,6,70,6330,1
532,38,M,22,1,987000,12,249,22324,2
533,55,M,16,1,619000,6,0,1054,9
534,56,F,22,1,979000,12,212,13818,7
535,26,M,22,1,971000,12,80,11018,7
536,41,M,16,1,138000,6,7,11503,7
537,43,M,22,1,826000,12,255,3283,1
538,29,M,16,1,571000,6,123,20302,2
539,58,F,22,1,841000,12,216,9344,9
540,60,F,22,1,648000,12,258,16785,7
541,60,F,22,1,822000,12,16,20993,7
542,41,F,16,1,126000,6,71,4668,3
543,28,F,22,1,370000,12,170,18986,7
544,52,M,16,1,621000,6,0,6694,6
545,51,M,22,1,116000,12,154,16273,10
546,27,F,16,1,739000,6,0,22481,2
547,46,F,22,1,425000,12,260,7997,4
548,54,F,16,1,459000,6,0,19748,3
549,26,M,22,1,587000,12,38,17589,8
550,30,F,22,1,710000,12,27,7353,3
551,49,F,16,1,102000,6,8,9729,5
552,29,F,22,1,813000,12,116,4060,5
553,43,F,22,1,514000,12,174,19071,7
554,34,M,16,1,553000,6,57,15560,6
555,26,F,16,1,238000,6,175,12495,6
556,40,F,22,1,749000,12,145,2793,8
557,41,F,16,1,363000,6,0,17415,10
558,42,F,22,1,246000,12,226,14307,3
559,26,M,22,1,579000,12,26,9487,3
560,40,M,22,1,974000,12,19,21985,1
561,42,M,16,1,860000,6,9,24980,3
562,26,M,22,1,495000,12,160,4516,5
563,27,M,16,1,267000,6,0,23921,10
564,46,M,22,1,800000,12,51,16570,2
565,26,M,22,1,944000,12,160,17472,7
566,51,F,16,1,788000,6,20,13435,6
567,43,M,22,1,757000,12,106,14003,3
568,60,M,16,1,903000,6,0,14780,2
569,59,M,16,1,450000,6,184,14293,4
570,44,M,22,1,889000,12,238,4230,4
571,52,F,16,1,606000,6,128,20460,4
572,58,M,22,1,121000,12,98,5590,9
573,33,F,16,1,324000,6,182,11463,8
574,59,M,16,1,763000,6,42,2119,9
575,52,M,22,1,194000,12,25,9537,4
576,32,M,16,1,581000,6,93,20800,8
577,27,F,16,1,555000,6,113,5633,2
578,27,F,16,1,301000,6,0,21877,9
579,58,F,22,1,344000,12,63,18890,3
580,31,M,22,1,116000,12,224,10974,10
581,25,M,16,1,362000,6,83,9167,9
582,51,M,16,1,683000,6,0,6378,10
583,50,M,16,1,193000,6,70,1962,4
584,34,F,16,1,594000,6,63,3342,8
585,37,F,16,1,333000,6,167,10686,4
586,29,M,22,1,881000,12,47,15419,3
587,37,M,16,1,240000,6,0,6171,2
588,58,M,16,1,557000,6,0,15969,6
589,42,M,22,1,122000,12,48,21901,4
590,49,M,16,1,883000,6,167,6887,7
591,39,M,22,1,712000,12,45,13100,10
592,59,M,22,1,440000,12,72,12440,10
593,35,M,22,1,540000,12,244,2203,8
594,36,F,16,1,387000,6,0,15848,10
595,48,M,22,1,300000,12,237,22543,4
596,31,M,16,1,922000,6,41,8331,3
597,25,M,22,1,183000,12,242,21756,5
598,29,F,16,1,401000,6,0,23932,6
599,46,M,22,1,167000,12,25,1000,9
600,58,M,16,1,658000,6,41,21620,3
601,41,M,16,1,433000,6,24,19621,3
602,30,M,22,1,268000,12,171,4706,8
603,58,M,22,1,103000,12,76,2585,7
604,53,M,16,1,509000,6,66,7749,9
605,53,F,16,1,368000,6,0,13017,2
606,32,F,16,1,415000,6,0,24517,7
607,30,F,16,1,789000,6,163,6727,4
608,56,F,22,1,372000,12,19,6540,2
609,60,F,16,1,753000,6,2,20855,1
610,27,M,16,1,390000,6,53,2125,7
611,29,M,22,1,279000,12,102,14125,2
612,38,F,16,1,698000,6,0,5965,5
613,58,F,16,1,555000,6,140,21608,7
614,39,M,16,1,992000,6,186,24977,7
615,32,F,22,1,852000,12,106,21688,2
616,60,F,22,1,227000,12,128,10175,6
617,39,F,22,1,599000,12,230,19280,4
618,57,M,16,1,882000,6,128,1001,9
619,41,F,16,1,444000,6,122,7016,10
620,38,M,16,1,841000,6,57,12052,7
621,28,M,22,1,633000,12,205,15739,9
622,40,F,16,1,882000,6,0,7909,10
623,48,F,16,1,417000,6,162,6583,10
624,50,F,16,1,613000,6,71,23646,8
625,25,F,16,1,193000,6,0,8106,10
626,48,F,16,1,247000,6,0,21392,2
627,45,F,22,1,493000,12,227,5683,9
628,57,F,22,1,876000,12,224,12346,7
629,55,F,22,1,505000,12,50,13504,10
630,49,M,22,1,840000,12,243,13932,2
631,46,F,22,1,575000,12,191,12916,10
